location,x,y
East Fork Hood River,-121.6175,45.5725
Powerdale,-121.5244,45.6655
Middle Fork Hood River,-121.6259,45.5235
Rogers Spring,-121.6209,45.52346
Lake Branch,-121.6984,45.5441
West Fork Hood River,-121.6872,45.5575
Dog River,-121.6872,45.5575
McGee Creek,-121.5926,45.5649
Neal Creek,-121.5263,45.6633
Baldwin Creek,-121.59255,45.564883
Rogers Creek,-121.6211228,45.52629686
Moving Falls,-121.6592634,45.56992339
Hood River Mouth,-121.5085,45.71434
Nichols Basin 2,-121.5088,45.71287
Nichols Basin 1,-121.5115,45.71572
Odell Creek,-121.539,45.6543
Tony Creek,-121.6411,45.54536
