activity_date,year,location,flow_cfs,lat,long
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-04-12T00:00:00Z,2010,Rogers Creek,10.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-05-24T00:00:00Z,2010,Rogers Creek,8.3,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-09T00:00:00Z,2010,Rogers Creek,9.1,NA,NA
2010-06-21T00:00:00Z,2010,Rogers Creek,8.5,NA,NA
2010-06-21T00:00:00Z,2010,Rogers Creek,8.5,NA,NA
2010-06-21T00:00:00Z,2010,Rogers Creek,8.5,NA,NA
