"","location","year","water_year_season","season_months","total_months_sampled","samples_per_year","season_prop"
"1","Baldwin_Creek",2000,"Fall/Winter",2,5,2736,0.4
"2","Baldwin_Creek",2000,"Spring/Summer",3,5,2736,0.6
"3","Baldwin_Creek",2001,"Fall/Winter",1,1,277,1
"4","Baldwin_Creek",2002,"Fall/Winter",3,6,4020,0.5
"5","Baldwin_Creek",2002,"Spring/Summer",3,6,4020,0.5
"6","East_Fork",1990,"Spring/Summer",3,3,1049,1
"7","East_Fork",1992,"Fall/Winter",4,8,2035,0.5
"8","East_Fork",1992,"Spring/Summer",4,8,2035,0.5
"9","East_Fork",1993,"Fall/Winter",6,9,3049,0.666666666666667
"10","East_Fork",1993,"Spring/Summer",3,9,3049,0.333333333333333
"11","East_Fork",1994,"Fall/Winter",6,12,4379,0.5
"12","East_Fork",1994,"Spring/Summer",6,12,4379,0.5
"13","East_Fork",1995,"Fall/Winter",6,9,2663,0.666666666666667
"14","East_Fork",1995,"Spring/Summer",3,9,2663,0.333333333333333
"15","East_Fork",1996,"Fall/Winter",6,12,4392,0.5
"16","East_Fork",1996,"Spring/Summer",6,12,4392,0.5
"17","East_Fork",1997,"Fall/Winter",3,5,1757,0.6
"18","East_Fork",1997,"Spring/Summer",2,5,1757,0.4
"19","East_Fork",2001,"Fall/Winter",1,1,275,1
"20","East_Fork",2002,"Fall/Winter",3,6,4017,0.5
"21","East_Fork",2002,"Spring/Summer",3,6,4017,0.5
"22","Lake_Branch",1998,"Fall/Winter",1,6,152,0.166666666666667
"23","Lake_Branch",1998,"Spring/Summer",5,6,152,0.833333333333333
"24","Lake_Branch",2001,"Fall/Winter",1,1,273,1
"25","Lake_Branch",2002,"Fall/Winter",3,6,4016,0.5
"26","Lake_Branch",2002,"Spring/Summer",3,6,4016,0.5
"27","Middle_Fork",2001,"Fall/Winter",1,1,276,1
"28","Middle_Fork",2002,"Fall/Winter",3,6,4018,0.5
"29","Middle_Fork",2002,"Spring/Summer",3,6,4018,0.5
"30","Middle_Fork_Mixed",1995,"Fall/Winter",3,8,10388,0.375
"31","Middle_Fork_Mixed",1995,"Spring/Summer",5,8,10388,0.625
